;Cross-Validation Score (Mean);Acurácia;f1 score;precision score;recall score
Random Forest;0.9590391492639785;95.79;0.9617037175415655;0.9561664190193165;0.9673055242390078
Support Vector Machine;0.9735653814680804;97.29;0.9748091603053435;0.990306320279178;0.9597895527996994
Logistic Regression;0.9750541010064605;97.54;0.9773413897280967;0.9821631878557875;0.9725667042465239
Decision Tree;0.974386578629694;97.15;0.9738574384051156;0.9747740963855421;0.9729425028184893
K-Nearest Neighbors;0.742377620019401;75.57;0.7856628242074928;0.7544102386717398;0.8196166854565953
Naive Bayes;0.9339909233607276;93.23;0.938225383751404;0.9347258485639687;0.9417512213453589
